name,artist,album,release_date,duration_ms,id,played_at,play_count
Nikes,Nimstarr,Nikes,2021-02-12,139910,65ha6jDdEeQ05hbiDeSUjT,2021-10-03T23:22:11.027Z,0
Paddlepop,Barrett Marshall,Paddlepop,2020-10-23,187000,5F3It9pr2kHad7nQLhcvlq,2021-10-03T23:31:33.157Z,0
sweet decay 부패,Chasu,bury me instead,2021-07-07,200427,3hFQrbW6FUGYjfYG3Xsr1q,2021-10-03T23:34:51.169Z,0
Passion,PinkPantheress,Passion,2021-07-01,138268,6ZJqCviTotiIujl1rfcL53,2021-10-03T23:37:07.185Z,0
"caffeine and dopamine, Pt. 2",Aleebi,"caffeine and dopamine, Pt. 2",2020-05-13,192000,6ASyqeVYclu3dVSTPDRjZG,2021-10-03T23:40:17.154Z,0
Someone New,Ok2222,Someone New,2019-12-13,160500,7bFWaXKr9DA5pZioUJzUsg,2021-10-03T23:42:55.130Z,0
POP OUT,Benjamin Earl Turner,SELLING AIR,2021-08-07,197550,2TIlcI6KmuRysgNszwUWde,2021-10-03T23:46:10.025Z,0
War With Heaven,keshi,Shang-Chi and The Legend of The Ten Rings: The Album,2021-09-03,193373,14gmLQPNYokqB8OKxAp69f,2021-10-03T23:49:22.129Z,0
Toroka,Christian Kuria,Toroka,2020-10-21,202075,6RMltEudPPFoJuUoshxRBB,2021-10-03T23:52:41.866Z,0
Pain,PinkPantheress,Pain,2021-06-07,98544,7CIERzyqIwLVKGp00YbHRO,2021-10-03T23:54:18.185Z,0
Nikes,Nimstarr,Nikes,2021-02-12,139910,65ha6jDdEeQ05hbiDeSUjT,2021-10-03T23:56:36.055Z,0
