name,artist,album,release_date,duration_ms,id,play_count
Diary,HEIZE,Late Autumn,10/13/2019,250186,2zAcVe9SPjEps2M087r9P6,4
DAUM,HEIZE,Late Autumn,10/13/2019,227080,3dTz4jd3DGuqGLQyPtGyEE,4
Falling Leaves are Beautiful,HEIZE,Late Autumn,10/13/2019,202933,7sNPQxJLeBNOQY1pEDZl1K,3
"You, Clouds, Rain",HEIZE,"/// (You, Clouds, Rain)",6/26/2017,205312,6FZAc2XaVYc8G8jaDnBshv,3
Like the first time (Feat. Gary),HEIZE,HAPPEN,5/20/2021,198026,627R8FsZQCSyExWyMDrdcw,3
H.S.K.T. (feat. Wonstein),LeeHi,4 ONLY,9/9/2021,204453,39382sUtIOwIXftX0i76do,3
HOLD MY HAND,LeeHi,SEOULITE,3/9/2016,218826,7bwSMCwF2C4cK2W97H6oCA,3
Safety Zone,LeeHi,4 ONLY,9/9/2021,248093,4yUrkvM634vJTljUN9gDxV,4
Waterride,LeeHi,4 ONLY,9/9/2021,184146,7JXNH2xnA23vsGasejVfWr,3
Savior (feat. B.I),LeeHi,4 ONLY,9/9/2021,215560,0DYvTdqBqW6erA1a7pFzVo,4
Red Lipstick (feat. Yoonmirae),LeeHi,4 ONLY,9/9/2021,187320,7nJc2Oxfn7xRX3eF4hltyl,3
"Hi, hello?",HEIZE,HAPPEN,5/20/2021,248773,71zma1WRfDRYHxI5SBM0jb,4
1/1440,HEIZE,Lyricist,6/10/2020,184026,15F7ASF4Q4JjoyxOv6irVP,4
Love Distance (Feat. Heize) (Prod. dress),Jooyoung,Love Distance,7/3/2020,212960,2UfAY1qmaIF8KquwbMDTNI,3
HOLO,LeeHi,HOLO,7/23/2020,178520,7Acvy2L38SCipAeMPOK8Ro,0
Your name,HEIZE,Lyricist,6/10/2020,242040,3WXRfej4FmghZCMzu9uv0g,0
Being Freezed,HEIZE,Late Autumn,10/13/2019,213480,5NAWVTxbT6uhz5nBSN50jK,3
No Reason,HEIZE,She's Fine,3/19/2019,211425,05YyMLG9IWrGrzBIa2doYu,4
